Title,Company,Location,Link
b'Junior Software Developer',b'Contour Software',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/junior-software-developer-at-contour-software-3622567830?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=TnZvAIDsJnlYXklURZ%2B30Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Frontend Developer',b'Xgrid.co',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/frontend-developer-at-xgrid-co-3612714355?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=tDJvhKx1I1H6eReHFPkL4w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Developer',b'Contour Software',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/software-developer-at-contour-software-3630173163?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=YYfSEoz5UIZ75Tgwiqi8Kw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Developer',b'Contour Software',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/software-developer-at-contour-software-3669960402?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=Cby%2Bj62tpNFqA7cz1G1sfA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Developer',b'Contour Software',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/software-developer-at-contour-software-3656332182?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=wQw5ArgIkLPsUbKpmz5RcA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer - PHP',b'Gaditek',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/software-engineer-php-at-gaditek-3591021636?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=hdqDgW33K8dZQUq6G5E%2F8g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer - .NET',b'Creative Chaos',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/software-engineer-net-at-creative-chaos-3676190757?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=dK9%2F0dlEYOyr2%2BuwAlxdvQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'GRADUATE SOFTWARE ENGINEER - Dubai, UAE'",b'Cobblestone Energy',"b'Karachi Division, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3655322762?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=DGKWZHaItIq3qHsF1qTqkg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Angular Developer',b'NymCard',"b'Karachi Division, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/angular-developer-at-nymcard-3673094244?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=sn4eeU%2FC5Dp5QdoRWiwQ8A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Full Stack Developer',b'Contour Software',"b'Kar\xc4\x81chi, Sindh, Pakistan'",b'https://pk.linkedin.com/jobs/view/full-stack-developer-at-contour-software-3649697082?refId=n%2Bg0TiqFQIeyzzncEctXMQ%3D%3D&trackingId=zxNMpglKOT6HreQz16lTgw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
